                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0956,                 4.7561,                 1.3899,                0.00296,                0.28428,                0.13259,                0.05912,                 1.8052,                 4.5138,                 1.2043,                 0.0706,              0.0032667,              0.0032667
                      1,                  1.878,                 3.0717,                 1.2849,                0.72443,                0.18518,                0.28633,                0.11078,                  2.048,                 3.3854,                 1.3176,               0.040535,              0.0065347,              0.0065347
                      2,                 1.8592,                 2.5676,                  1.242,                0.59811,                0.51967,                0.52755,                0.18869,                 2.1369,                 2.5213,                 1.4082,               0.010403,              0.0097367,              0.0097367
                      3,                 1.8186,                 2.3523,                 1.2314,                0.63667,                0.42033,                 0.4864,                0.23897,                 1.8615,                 2.8144,                 1.2818,               0.009703,               0.009703,               0.009703
                      4,                 1.8637,                 2.1477,                 1.2509,                0.70816,                0.53219,                0.60412,                0.28765,                 1.8418,                 2.5032,                 1.2898,               0.009703,               0.009703,               0.009703
                      5,                 1.8246,                  1.983,                 1.2513,                0.66536,                0.47088,                0.53519,                0.22295,                 2.0379,                 2.3851,                 1.3896,               0.009604,               0.009604,               0.009604
                      6,                 1.7627,                 1.8266,                 1.2142,                0.68544,                0.59474,                 0.6457,                0.27547,                 1.8957,                 2.1575,                 1.2717,               0.009505,               0.009505,               0.009505
                      7,                 1.7904,                 1.7514,                 1.2389,                0.66438,                0.51089,                0.54577,                0.20306,                 2.2508,                 2.0134,                 1.4461,               0.009406,               0.009406,               0.009406
                      8,                 1.7536,                 1.6213,                 1.1918,                0.61416,                0.59007,                0.66102,                0.29127,                 1.8939,                 2.0668,                  1.277,               0.009307,               0.009307,               0.009307
                      9,                 1.7084,                 1.5484,                 1.1917,                0.72557,                0.55148,                0.64666,                0.30277,                 1.9371,                 1.6854,                 1.2941,               0.009208,               0.009208,               0.009208
                     10,                 1.6891,                 1.4411,                 1.1862,                0.85868,                0.63689,                0.76002,                0.33771,                 1.8395,                  1.452,                 1.2467,               0.009109,               0.009109,               0.009109
                     11,                 1.6945,                 1.4037,                 1.2008,                0.74787,                0.63935,                0.67863,                  0.244,                 2.1904,                 1.5106,                 1.4021,                0.00901,                0.00901,                0.00901
                     12,                 1.6926,                 1.3448,                 1.1929,                0.78256,                0.64056,                0.69952,                  0.307,                 1.8564,                 1.5155,                 1.2692,               0.008911,               0.008911,               0.008911
                     13,                 1.6714,                 1.3428,                 1.1914,                0.82745,                0.63064,                0.70376,                0.30521,                 1.9288,                 1.4796,                 1.2882,               0.008812,               0.008812,               0.008812
                     14,                 1.6496,                 1.3015,                 1.1787,                0.76113,                0.64212,                0.68217,                0.29863,                 2.0185,                 1.4121,                 1.3224,               0.008713,               0.008713,               0.008713
                     15,                 1.6794,                 1.3025,                 1.1893,                0.75584,                0.63491,                0.69167,                0.29972,                 1.9877,                 1.3826,                 1.3147,               0.008614,               0.008614,               0.008614
                     16,                 1.6281,                 1.2069,                 1.1724,                0.73116,                 0.7008,                 0.7467,                0.34289,                 1.8469,                 1.3131,                  1.255,               0.008515,               0.008515,               0.008515
                     17,                 1.6488,                 1.2051,                 1.1746,                0.71857,                0.61013,                0.70198,                0.34124,                 1.7464,                 1.5854,                 1.2165,               0.008416,               0.008416,               0.008416
                     18,                 1.6264,                 1.1755,                 1.1661,                0.75676,                 0.6104,                0.64457,                0.27251,                 2.1105,                 1.4391,                 1.4018,               0.008317,               0.008317,               0.008317
                     19,                 1.6548,                 1.1787,                 1.1791,                0.82283,                0.66892,                0.75229,                0.32187,                 1.9575,                 1.2288,                 1.3124,               0.008218,               0.008218,               0.008218
                     20,                 1.5756,                 1.1245,                 1.1532,                0.87531,                0.66072,                0.77599,                0.36891,                  1.791,                 1.2288,                 1.2364,               0.008119,               0.008119,               0.008119
                     21,                 1.5915,                 1.0801,                  1.156,                0.82717,                0.67222,                0.74504,                0.33851,                 1.9526,                 1.1945,                 1.3039,                0.00802,                0.00802,                0.00802
                     22,                 1.5793,                 1.0616,                 1.1377,                0.87666,                0.69248,                 0.7829,                0.38935,                 1.7536,                 1.1487,                 1.2332,               0.007921,               0.007921,               0.007921
                     23,                 1.5868,                 1.0614,                  1.143,                0.84364,                 0.7053,                0.77105,                0.35914,                  1.859,                 1.1426,                 1.2605,               0.007822,               0.007822,               0.007822
                     24,                 1.5622,                 1.0411,                 1.1509,                0.81167,                0.66549,                0.74594,                0.35525,                  1.839,                 1.2265,                 1.2565,               0.007723,               0.007723,               0.007723
                     25,                 1.5582,                 1.0445,                 1.1442,                0.77832,                0.70809,                0.76269,                0.36559,                 1.8329,                 1.2248,                 1.2649,               0.007624,               0.007624,               0.007624
                     26,                 1.5561,                0.99283,                 1.1487,                 0.8979,                0.69464,                 0.7954,                0.38817,                 1.7533,                 1.0754,                  1.221,               0.007525,               0.007525,               0.007525
                     27,                 1.5487,                 1.0069,                 1.1502,                0.84296,                0.68432,                0.73641,                0.32835,                 1.9873,                 1.1332,                  1.328,               0.007426,               0.007426,               0.007426
