                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93872,                0.51911,                0.91717,                0.86716,                0.77868,                0.82762,                0.40403,                 1.8524,                0.90374,                 1.3364,                 0.0706,              0.0032667,              0.0032667
                      1,                0.99842,                 0.5472,                0.93677,                 0.8549,                0.79139,                0.83301,                0.40806,                 1.8039,                0.91626,                 1.3052,               0.040535,              0.0065347,              0.0065347
                      2,                 1.1158,                0.62559,                 0.9632,                0.81541,                0.78116,                0.80305,                0.37864,                 1.8767,                 0.9499,                 1.3605,               0.010403,              0.0097367,              0.0097367
                      3,                   1.18,                0.64838,                0.97495,                0.82207,                0.71868,                0.76761,                0.34997,                 1.8951,                 1.0486,                 1.3575,               0.009703,               0.009703,               0.009703
                      4,                 1.2076,                0.67722,                 1.0071,                0.89823,                0.75434,                0.83162,                0.40817,                 1.7733,                 1.0035,                 1.2563,               0.009703,               0.009703,               0.009703
                      5,                 1.2321,                0.70346,                 1.0142,                0.85243,                 0.6731,                0.77531,                0.34231,                 1.9615,                 1.2116,                 1.3449,               0.009604,               0.009604,               0.009604
                      6,                 1.2315,                0.72306,                 1.0114,                0.80033,                0.75313,                0.79246,                 0.3959,                 1.7245,                 1.0266,                 1.2433,               0.009505,               0.009505,               0.009505
                      7,                 1.2964,                0.74772,                 1.0389,                0.78139,                  0.714,                0.74652,                0.32577,                 2.0454,                 1.0435,                 1.4111,               0.009406,               0.009406,               0.009406
                      8,                 1.3017,                0.72784,                 1.0232,                0.84247,                0.70289,                0.74232,                0.33429,                 2.0333,                  1.008,                 1.4031,               0.009307,               0.009307,               0.009307
                      9,                 1.2739,                0.72353,                 1.0332,                0.81072,                0.71009,                0.75843,                0.30038,                 2.1147,                  1.118,                 1.4401,               0.009208,               0.009208,               0.009208
                     10,                 1.2418,                0.70375,                 1.0136,                 0.8251,                 0.7342,                0.79901,                0.34589,                 1.9931,                 1.0129,                 1.3585,               0.009109,               0.009109,               0.009109
                     11,                 1.2505,                0.71904,                 1.0282,                0.88013,                0.69523,                 0.7971,                0.38082,                 1.8154,                  0.977,                 1.2832,                0.00901,                0.00901,                0.00901
                     12,                 1.2576,                0.71607,                  1.027,                0.87588,                0.71371,                0.78293,                0.37353,                 1.8062,                 1.0305,                 1.2775,               0.008911,               0.008911,               0.008911
                     13,                 1.2602,                0.72209,                 1.0288,                0.82176,                0.67535,                0.72517,                0.32738,                  2.017,                 1.0813,                 1.3794,               0.008812,               0.008812,               0.008812
                     14,                 1.2573,                0.70808,                 1.0234,                0.85171,                0.72569,                0.78388,                0.36143,                 1.8981,                0.98638,                  1.308,               0.008713,               0.008713,               0.008713
                     15,                 1.2472,                0.72327,                 1.0175,                0.87645,                0.73678,                0.80179,                0.36503,                 1.8988,                 1.0072,                  1.314,               0.008614,               0.008614,               0.008614
                     16,                 1.2173,                0.70248,                 1.0062,                0.84166,                0.72564,                 0.7772,                0.34884,                 1.9693,                 1.0651,                 1.3611,               0.008515,               0.008515,               0.008515
